num_circuit,num_qubits_each_circuit,dataset,average_throughput
18,2,NoTaDS,17.833333333333332
18,3,FFD,2752.0
18,3,MILQ,2346.6666666666665
18,3,MTMC,2752.0
18,3,NoTaDS,352.0833333333333
18,4,FFD,9150.222222222223
18,4,MILQ,1372715455.5555556
18,4,MTMC,7987.555555555556
18,4,NoTaDS,765.3333333333334
18,5,FFD,9537.777777777777
18,5,MILQ,4425797898.666667
18,5,MTMC,9537.777777777777
18,5,NoTaDS,1840.0
18,6,FFD,4777.777777777777
18,6,MILQ,4403.555555555556
18,6,MTMC,4971.555555555556
18,6,NoTaDS,3760.0
18,7,FFD,5081.777777777777
18,7,MILQ,3520.0
18,7,MTMC,5301.333333333333
18,7,NoTaDS,4640.0
18,8,FFD,6338.666666666667
18,8,MILQ,5951.111111111111
18,8,MTMC,5951.111111111111
18,8,NoTaDS,5520.0
18,9,FFD,9344.0
18,9,MILQ,10188.444444444445
18,9,MTMC,9537.777777777777
18,9,NoTaDS,9150.222222222223
18,10,FFD,10119.111111111111
18,10,MILQ,7883.5555554884295
18,10,MTMC,9537.777777777777
18,10,NoTaDS,19075.555555555555
19,2,FFD,960.0
19,2,MILQ,960.0
19,2,MTMC,960.0
19,2,NoTaDS,16.92105263157895
19,3,FFD,2896.842105263158
19,3,MILQ,2607.157894736842
19,3,MTMC,2896.842105263158
19,3,NoTaDS,370.5263157894737
19,4,FFD,9101.473684210527
19,4,MILQ,535133061.8947368
19,4,MTMC,11304.421052631578
19,4,NoTaDS,763.0
19,5,FFD,10570.105263157895
19,5,MILQ,151677356.63157895
19,5,MTMC,9835.78947368421
19,5,NoTaDS,1840.0
19,6,FFD,5101.473684210527
19,6,MILQ,6281.263157894737
19,6,MTMC,4926.315789473684
19,6,NoTaDS,3760.0
19,7,FFD,4934.736842105263
19,7,MILQ,4956.631578947368
19,7,MTMC,5669.0526315789475
19,7,NoTaDS,4640.0
19,8,FFD,6037.894736842105
19,8,MILQ,87929.95
19,8,MTMC,6772.210526315789
19,8,NoTaDS,5520.0
19,9,FFD,9068.631578947368
19,9,MILQ,8085.0526315789475
19,9,MTMC,8701.473684210527
19,9,NoTaDS,9068.631578947368
19,10,FFD,9068.631578947368
19,10,MILQ,8852.895309026317
19,10,MTMC,9435.78947368421
19,10,NoTaDS,19055.157894736843
20,2,FFD,912.0
20,2,MTMC,912.0
20,2,NoTaDS,16.1
20,3,FFD,2752.0
20,3,MTMC,2752.0
20,3,NoTaDS,352.075
20,4,FFD,8297.6
20,4,MTMC,8646.4
20,4,NoTaDS,763.2
20,5,FFD,10739.2
20,5,MTMC,10041.6
20,5,NoTaDS,1840.0
20,6,FFD,4505.6
20,6,MTMC,4854.4
20,6,NoTaDS,3760.0
20,7,FFD,5825.6
20,7,MTMC,5211.2
20,7,NoTaDS,4640.0
20,8,FFD,6222.4
20,8,MTMC,6396.8
20,8,NoTaDS,5520.0
20,9,FFD,8820.8
20,9,MTMC,10041.6
20,9,NoTaDS,9692.8
20,10,FFD,9692.8
20,10,MTMC,9867.2
20,10,NoTaDS,18513.6
